"filename", "language", "C++", "HLSL", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.cpp", "C++", 48, 0, 0, 0, 0, 16, 64
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.h", "C++", 48, 0, 0, 0, 5, 13, 66
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\WindowManager.cpp", "C++", 262, 0, 0, 0, 8, 77, 347
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\WindowManager.h", "C++", 36, 0, 0, 0, 0, 21, 57
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\AnimMeshShader.fx", "HLSL", 0, 53, 0, 0, 21, 20, 94
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\Common.fx", "HLSL", 0, 5, 0, 0, 0, 2, 7
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\GBuffer.fx", "HLSL", 0, 58, 0, 0, 1, 20, 79
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshInstancing.fx", "HLSL", 0, 42, 0, 0, 0, 9, 51
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshMix.fx", "HLSL", 0, 374, 0, 0, 95, 125, 594
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshNoLighting.fx", "HLSL", 0, 33, 0, 0, 0, 5, 38
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshNormalMapping.fx", "HLSL", 0, 76, 0, 0, 5, 18, 99
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshOld.fx", "HLSL", 0, 105, 0, 0, 59, 42, 206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshPOM.fx", "HLSL", 0, 156, 0, 0, 37, 52, 245
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshPointLight.fx", "HLSL", 0, 77, 0, 0, 7, 19, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSSS.fx", "HLSL", 0, 175, 0, 0, 12, 44, 231
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSSSLike.fx", "HLSL", 0, 86, 0, 0, 8, 19, 113
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSmooth.fx", "HLSL", 0, 61, 0, 0, 9, 15, 85
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectBloom.fx", "HLSL", 0, 91, 0, 0, 14, 23, 128
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectEnd.fx", "HLSL", 0, 39, 0, 0, 2, 5, 46
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectFog.fx", "HLSL", 0, 77, 0, 0, 12, 19, 108
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectGaussian.fx", "HLSL", 0, 71, 0, 0, 12, 20, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSSAO.fx", "HLSL", 0, 357, 0, 0, 18, 65, 440
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSaturate.fx", "HLSL", 0, 37, 0, 0, 5, 12, 54
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectStarBurst.fx", "HLSL", 0, 112, 0, 0, 13, 26, 151
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectZShadow.fx", "HLSL", 0, 206, 0, 0, 47, 69, 322
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\SkinAnimMeshShader.fx", "HLSL", 0, 84, 0, 0, 5, 26, 115
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\simple.fx", "HLSL", 0, 40, 0, 0, 0, 9, 49
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.cpp", "C++", 530, 0, 0, 0, 0, 85, 615
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.h", "C++", 106, 0, 0, 0, 0, 11, 117
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.cpp", "C++", 319, 0, 0, 0, 0, 45, 364
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.h", "C++", 4, 0, 0, 0, 0, 3, 7
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\Sample.vcxproj", "XML", 0, 0, 0, 305, 0, 1, 306
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.cpp", "C++", 453, 0, 0, 0, 0, 63, 516
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.h", "C++", 6, 0, 0, 0, 0, 3, 9
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\main.cpp", "C++", 192, 0, 0, 0, 0, 27, 219
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\AnimMeshShader.fx", "HLSL", 0, 53, 0, 0, 21, 20, 94
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\AnimationMeshShader.fx", "HLSL", 0, 53, 0, 0, 21, 20, 94
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\Common.fx", "HLSL", 0, 5, 0, 0, 0, 2, 7
